start,end,c,locationLabel,eventLabel,s,roleLabel,personLabel,affliationLabel,keywords,homepage,abstract
2012-11-11T09:00:00+05:00,2012-11-11T12:30:00+05:00,swc:WorkshopEvent,St. James,International Workshop on Semantic Technologies meet Recommender Systems & Big Data,workshop:sersy/2012,Workshop Chair,Giovanni Semeraro,,"recommender systems, linked data, social web, semantic technologies, personalization, big data",http://iswc2012.semanticweb.org/workshops/sersy2012,"More and more semantic data are published following the Linked Data principles, that enable to set up links between objects in different data sources, by connecting information in a single global data space: the Web of Data. Today, Web of Data includes different types of knowledge represented in a homogeneous form: sedimentary one (encyclopedic, cultural, linguistic, common-sense) and real-time one (news, data streams, ...). This data might be useful to interlink diverse information about users, items, and their relations and implement reasoning mechanisms that can support and improve the recommendation process.  The challenge is to investigate whether and how this large amount of wide-coverage and linked semantic knowledge can be automatically introduced into systems that perform tasks requiring human-level intelligence. Examples of such tasks include understanding a health problem in order to make a medical decision, or simply deciding which laptop to buy. Recommender systems support users exactly in those complex tasks.  The primary goal of the workshop is to showcase cutting edge research on the intersection of Semantic Technologies and Recommender Systems, by taking the best of the two worlds. This combination may provide the Semantic Web community with important real-world scenarios where its potential can be effectively exploited into systems performing complex tasks."
2012-11-11T09:00:00+05:00,2012-11-11T12:30:00+05:00,swc:WorkshopEvent,St. James,International Workshop on Semantic Technologies meet Recommender Systems & Big Data,workshop:sersy/2012,Workshop Chair,Marco de Gemmis,,"recommender systems, linked data, social web, semantic technologies, personalization, big data",http://iswc2012.semanticweb.org/workshops/sersy2012,"More and more semantic data are published following the Linked Data principles, that enable to set up links between objects in different data sources, by connecting information in a single global data space: the Web of Data. Today, Web of Data includes different types of knowledge represented in a homogeneous form: sedimentary one (encyclopedic, cultural, linguistic, common-sense) and real-time one (news, data streams, ...). This data might be useful to interlink diverse information about users, items, and their relations and implement reasoning mechanisms that can support and improve the recommendation process.  The challenge is to investigate whether and how this large amount of wide-coverage and linked semantic knowledge can be automatically introduced into systems that perform tasks requiring human-level intelligence. Examples of such tasks include understanding a health problem in order to make a medical decision, or simply deciding which laptop to buy. Recommender systems support users exactly in those complex tasks.  The primary goal of the workshop is to showcase cutting edge research on the intersection of Semantic Technologies and Recommender Systems, by taking the best of the two worlds. This combination may provide the Semantic Web community with important real-world scenarios where its potential can be effectively exploited into systems performing complex tasks."
2012-11-11T09:00:00+05:00,2012-11-11T12:30:00+05:00,swc:WorkshopEvent,St. James,International Workshop on Semantic Technologies meet Recommender Systems & Big Data,workshop:sersy/2012,Workshop Chair,Pasquale Lops,,"recommender systems, linked data, social web, semantic technologies, personalization, big data",http://iswc2012.semanticweb.org/workshops/sersy2012,"More and more semantic data are published following the Linked Data principles, that enable to set up links between objects in different data sources, by connecting information in a single global data space: the Web of Data. Today, Web of Data includes different types of knowledge represented in a homogeneous form: sedimentary one (encyclopedic, cultural, linguistic, common-sense) and real-time one (news, data streams, ...). This data might be useful to interlink diverse information about users, items, and their relations and implement reasoning mechanisms that can support and improve the recommendation process.  The challenge is to investigate whether and how this large amount of wide-coverage and linked semantic knowledge can be automatically introduced into systems that perform tasks requiring human-level intelligence. Examples of such tasks include understanding a health problem in order to make a medical decision, or simply deciding which laptop to buy. Recommender systems support users exactly in those complex tasks.  The primary goal of the workshop is to showcase cutting edge research on the intersection of Semantic Technologies and Recommender Systems, by taking the best of the two worlds. This combination may provide the Semantic Web community with important real-world scenarios where its potential can be effectively exploited into systems performing complex tasks."
2012-11-11T09:00:00+05:00,2012-11-11T12:30:00+05:00,swc:WorkshopEvent,St. James,International Workshop on Semantic Technologies meet Recommender Systems & Big Data,workshop:sersy/2012,Workshop Chair,Thomas Lukasiewicz,,"recommender systems, linked data, social web, semantic technologies, personalization, big data",http://iswc2012.semanticweb.org/workshops/sersy2012,"More and more semantic data are published following the Linked Data principles, that enable to set up links between objects in different data sources, by connecting information in a single global data space: the Web of Data. Today, Web of Data includes different types of knowledge represented in a homogeneous form: sedimentary one (encyclopedic, cultural, linguistic, common-sense) and real-time one (news, data streams, ...). This data might be useful to interlink diverse information about users, items, and their relations and implement reasoning mechanisms that can support and improve the recommendation process.  The challenge is to investigate whether and how this large amount of wide-coverage and linked semantic knowledge can be automatically introduced into systems that perform tasks requiring human-level intelligence. Examples of such tasks include understanding a health problem in order to make a medical decision, or simply deciding which laptop to buy. Recommender systems support users exactly in those complex tasks.  The primary goal of the workshop is to showcase cutting edge research on the intersection of Semantic Technologies and Recommender Systems, by taking the best of the two worlds. This combination may provide the Semantic Web community with important real-world scenarios where its potential can be effectively exploited into systems performing complex tasks."
2012-11-11T09:00:00+05:00,2012-11-11T12:30:00+05:00,swc:WorkshopEvent,St. James,International Workshop on Semantic Technologies meet Recommender Systems & Big Data,workshop:sersy/2012,Workshop Chair,Tommaso Di Noia,,"recommender systems, linked data, social web, semantic technologies, personalization, big data",http://iswc2012.semanticweb.org/workshops/sersy2012,"More and more semantic data are published following the Linked Data principles, that enable to set up links between objects in different data sources, by connecting information in a single global data space: the Web of Data. Today, Web of Data includes different types of knowledge represented in a homogeneous form: sedimentary one (encyclopedic, cultural, linguistic, common-sense) and real-time one (news, data streams, ...). This data might be useful to interlink diverse information about users, items, and their relations and implement reasoning mechanisms that can support and improve the recommendation process.  The challenge is to investigate whether and how this large amount of wide-coverage and linked semantic knowledge can be automatically introduced into systems that perform tasks requiring human-level intelligence. Examples of such tasks include understanding a health problem in order to make a medical decision, or simply deciding which laptop to buy. Recommender systems support users exactly in those complex tasks.  The primary goal of the workshop is to showcase cutting edge research on the intersection of Semantic Technologies and Recommender Systems, by taking the best of the two worlds. This combination may provide the Semantic Web community with important real-world scenarios where its potential can be effectively exploited into systems performing complex tasks."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Stuart,Joint Workshop on Scalable and High-Performance Semantic Web Systems,workshop:swws_hpcsw/2012,Workshop Chair,Achille Fokoue,,"OWL, RDF, Supercomputing, SPARQL, Linked Data, High-Performance computing",http://iswc2012.semanticweb.org/workshops/SSWS_HPCSW,"The 2012 Joint Workshop on Scalable and High-Performance Semantic Web Systems (SSWS+HPCSW 2012) focuses on addressing the scalability issue with respect to the development and deployment of systems on the Semantic Web. Typically, such systems deal with information described in Semantic Web languages like OWL and RDF(S), and provide services such as storing, reasoning, querying, analysis, etc. There are two basic requirements for these systems. First, they have to satisfy an applications semantic requirements. Second, they must scale well in order to be of practical use. Given the sheer size and distributed nature of the Semantic Web, these requirements impose new challenges beyond those addressed by previous systems. This joint workshop consists of two tracks regarding scalability: one for knowledge base systems, and another for high-performance computing. We expect that the issue of scalability is going to challenge the Semantic Web for a long period of time and significant effort is needed in order to tackle the problem. This joint workshop seeks to bring together researchers and practitioners to share their recent ideas and progress towards building scalable systems for the Semantic Web; participants from related disciplines such as Supercomputing, and High-Performance Computing, Artificial Intelligence, Databases, Information Integration, are welcome."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Stuart,Joint Workshop on Scalable and High-Performance Semantic Web Systems,workshop:swws_hpcsw/2012,Workshop Chair,David Mizell,,"OWL, RDF, Supercomputing, SPARQL, Linked Data, High-Performance computing",http://iswc2012.semanticweb.org/workshops/SSWS_HPCSW,"The 2012 Joint Workshop on Scalable and High-Performance Semantic Web Systems (SSWS+HPCSW 2012) focuses on addressing the scalability issue with respect to the development and deployment of systems on the Semantic Web. Typically, such systems deal with information described in Semantic Web languages like OWL and RDF(S), and provide services such as storing, reasoning, querying, analysis, etc. There are two basic requirements for these systems. First, they have to satisfy an applications semantic requirements. Second, they must scale well in order to be of practical use. Given the sheer size and distributed nature of the Semantic Web, these requirements impose new challenges beyond those addressed by previous systems. This joint workshop consists of two tracks regarding scalability: one for knowledge base systems, and another for high-performance computing. We expect that the issue of scalability is going to challenge the Semantic Web for a long period of time and significant effort is needed in order to tackle the problem. This joint workshop seeks to bring together researchers and practitioners to share their recent ideas and progress towards building scalable systems for the Semantic Web; participants from related disciplines such as Supercomputing, and High-Performance Computing, Artificial Intelligence, Databases, Information Integration, are welcome."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Stuart,Joint Workshop on Scalable and High-Performance Semantic Web Systems,workshop:swws_hpcsw/2012,Workshop Chair,Eric Goodman,,"OWL, RDF, Supercomputing, SPARQL, Linked Data, High-Performance computing",http://iswc2012.semanticweb.org/workshops/SSWS_HPCSW,"The 2012 Joint Workshop on Scalable and High-Performance Semantic Web Systems (SSWS+HPCSW 2012) focuses on addressing the scalability issue with respect to the development and deployment of systems on the Semantic Web. Typically, such systems deal with information described in Semantic Web languages like OWL and RDF(S), and provide services such as storing, reasoning, querying, analysis, etc. There are two basic requirements for these systems. First, they have to satisfy an applications semantic requirements. Second, they must scale well in order to be of practical use. Given the sheer size and distributed nature of the Semantic Web, these requirements impose new challenges beyond those addressed by previous systems. This joint workshop consists of two tracks regarding scalability: one for knowledge base systems, and another for high-performance computing. We expect that the issue of scalability is going to challenge the Semantic Web for a long period of time and significant effort is needed in order to tackle the problem. This joint workshop seeks to bring together researchers and practitioners to share their recent ideas and progress towards building scalable systems for the Semantic Web; participants from related disciplines such as Supercomputing, and High-Performance Computing, Artificial Intelligence, Databases, Information Integration, are welcome."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Stuart,Joint Workshop on Scalable and High-Performance Semantic Web Systems,workshop:swws_hpcsw/2012,Workshop Chair,Jacopo Urbani,,"OWL, RDF, Supercomputing, SPARQL, Linked Data, High-Performance computing",http://iswc2012.semanticweb.org/workshops/SSWS_HPCSW,"The 2012 Joint Workshop on Scalable and High-Performance Semantic Web Systems (SSWS+HPCSW 2012) focuses on addressing the scalability issue with respect to the development and deployment of systems on the Semantic Web. Typically, such systems deal with information described in Semantic Web languages like OWL and RDF(S), and provide services such as storing, reasoning, querying, analysis, etc. There are two basic requirements for these systems. First, they have to satisfy an applications semantic requirements. Second, they must scale well in order to be of practical use. Given the sheer size and distributed nature of the Semantic Web, these requirements impose new challenges beyond those addressed by previous systems. This joint workshop consists of two tracks regarding scalability: one for knowledge base systems, and another for high-performance computing. We expect that the issue of scalability is going to challenge the Semantic Web for a long period of time and significant effort is needed in order to tackle the problem. This joint workshop seeks to bring together researchers and practitioners to share their recent ideas and progress towards building scalable systems for the Semantic Web; participants from related disciplines such as Supercomputing, and High-Performance Computing, Artificial Intelligence, Databases, Information Integration, are welcome."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Stuart,Joint Workshop on Scalable and High-Performance Semantic Web Systems,workshop:swws_hpcsw/2012,Workshop Chair,Jesse Weaver,,"OWL, RDF, Supercomputing, SPARQL, Linked Data, High-Performance computing",http://iswc2012.semanticweb.org/workshops/SSWS_HPCSW,"The 2012 Joint Workshop on Scalable and High-Performance Semantic Web Systems (SSWS+HPCSW 2012) focuses on addressing the scalability issue with respect to the development and deployment of systems on the Semantic Web. Typically, such systems deal with information described in Semantic Web languages like OWL and RDF(S), and provide services such as storing, reasoning, querying, analysis, etc. There are two basic requirements for these systems. First, they have to satisfy an applications semantic requirements. Second, they must scale well in order to be of practical use. Given the sheer size and distributed nature of the Semantic Web, these requirements impose new challenges beyond those addressed by previous systems. This joint workshop consists of two tracks regarding scalability: one for knowledge base systems, and another for high-performance computing. We expect that the issue of scalability is going to challenge the Semantic Web for a long period of time and significant effort is needed in order to tackle the problem. This joint workshop seeks to bring together researchers and practitioners to share their recent ideas and progress towards building scalable systems for the Semantic Web; participants from related disciplines such as Supercomputing, and High-Performance Computing, Artificial Intelligence, Databases, Information Integration, are welcome."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Stuart,Joint Workshop on Scalable and High-Performance Semantic Web Systems,workshop:swws_hpcsw/2012,Workshop Chair,Thorsten Liebig,,"OWL, RDF, Supercomputing, SPARQL, Linked Data, High-Performance computing",http://iswc2012.semanticweb.org/workshops/SSWS_HPCSW,"The 2012 Joint Workshop on Scalable and High-Performance Semantic Web Systems (SSWS+HPCSW 2012) focuses on addressing the scalability issue with respect to the development and deployment of systems on the Semantic Web. Typically, such systems deal with information described in Semantic Web languages like OWL and RDF(S), and provide services such as storing, reasoning, querying, analysis, etc. There are two basic requirements for these systems. First, they have to satisfy an applications semantic requirements. Second, they must scale well in order to be of practical use. Given the sheer size and distributed nature of the Semantic Web, these requirements impose new challenges beyond those addressed by previous systems. This joint workshop consists of two tracks regarding scalability: one for knowledge base systems, and another for high-performance computing. We expect that the issue of scalability is going to challenge the Semantic Web for a long period of time and significant effort is needed in order to tackle the problem. This joint workshop seeks to bring together researchers and practitioners to share their recent ideas and progress towards building scalable systems for the Semantic Web; participants from related disciplines such as Supercomputing, and High-Performance Computing, Artificial Intelligence, Databases, Information Integration, are welcome."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:TutorialEvent,Beacon Hill,LL-NLP Tutorial: What to do with long literals? Ask the NLP community...,iswc2012:tutorial-4,Tutorial Organizer,Caroline Barrière,,"Natural Language Processing (NLP), Named entities, Machine Learning for NLP, Semantic web literals, Text processing",http://www.crim.ca/en/r-d/iswc2012-tutorial-LLNLP.html,"In this tutorial, we will start with the basics of natural language processing (NLP) and will explain different levels of analysis (segmentation, morphology, lexicon, syntax, semantic). We will then look at the specific tasks involved in mining sentences to extract resource description framework (RDF) triples and show the importance that each level of language analysis can play in such tasks. NLP researchers have been working on such tasks for many years and have developed many algorithms to perform part-of-speech tagging, parsing, semantic disambiguation, named entity recognition and relation extraction. We will present baseline algorithms for these tasks to show expected results from state-of-the-art research. As many algorithms use machine learning (ML) techniques, we will provide a simple introduction to the aims and general principles behind such techniques and explain why they are so important to the NLP community. We will also explore problems that arise when extracting knowledge from multiple sentences and how that is closely related to concept mapping problems, which are familiar to the semantic web community. Since fully automatic text mining is quite a difficult task, we will emphasize that semi-automatic approaches can be effective and viable solutions for facilitating the RDFization of textual data."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:TutorialEvent,Charles,RDF Query Processing in the Cloud,iswc2012:tutorial-1,Tutorial Organizer,Kemafor Anyanwu,,"RDF Query Processing, Cloud Systems, MapReduce, Query Optimization, RDF Query Processing",http://research.csc.ncsu.edu/coul/RAPID/RDFQPCloud,"Cloud computing platforms such as Amazons EC2 and Hadoop have had significant adoption as large scale data processing platforms. Their attraction is the possibility of fault-tolerant execution and elastic scaling up or down of resources based on user requirements with minimal administrative burden to users. The rapid surge in volume of available RDF data has sharpened focus on the issue of large scale processing of RDF, making RDF query processing in the cloud an important topic. RDF data processing in the cloud requires considerations about appropriate storage models and computing environments and the impact of their underlying assumptions on RDFs schema-last and join-intensive workloads. Some example considerations are the absence of indexes and statistics usually relied on by traditional query optimization techniques and the heavy materialization in runtime execution environments such as Hadoop vs. pipelined execution plans used in traditional data processing systems. This tutorial will cover RDF query processing in the cloud, particularly MapReduce execution platforms such as Hadoop. It will overview the basics of cloud computing and cloud data storage systems, optimization issues and the state-of-the-art in RDF query optimization for cloud systems. It will also discuss future directions and open issues in query optimization for MapReduce environments."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:TutorialEvent,Charles,RDF Query Processing in the Cloud,iswc2012:tutorial-1,Tutorial Organizer,Padmashree Ravindra,,"RDF Query Processing, Cloud Systems, MapReduce, Query Optimization, RDF Query Processing",http://research.csc.ncsu.edu/coul/RAPID/RDFQPCloud,"Cloud computing platforms such as Amazons EC2 and Hadoop have had significant adoption as large scale data processing platforms. Their attraction is the possibility of fault-tolerant execution and elastic scaling up or down of resources based on user requirements with minimal administrative burden to users. The rapid surge in volume of available RDF data has sharpened focus on the issue of large scale processing of RDF, making RDF query processing in the cloud an important topic. RDF data processing in the cloud requires considerations about appropriate storage models and computing environments and the impact of their underlying assumptions on RDFs schema-last and join-intensive workloads. Some example considerations are the absence of indexes and statistics usually relied on by traditional query optimization techniques and the heavy materialization in runtime execution environments such as Hadoop vs. pipelined execution plans used in traditional data processing systems. This tutorial will cover RDF query processing in the cloud, particularly MapReduce execution platforms such as Hadoop. It will overview the basics of cloud computing and cloud data storage systems, optimization issues and the state-of-the-art in RDF query optimization for cloud systems. It will also discuss future directions and open issues in query optimization for MapReduce environments."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,White Hill,The Semantic Web in 2022,workshop:sw2022/2012,Workshop Chair,Denny Vrandecic,,"Semantic Web, Semantic Technologies, future development",http://iswc2012.semanticweb.org/workshops/sw2022,"The Semantic Web, as a field, is undergoing a major shift. After 10 years of mainly foundations-driven research, we now see strong indicators that Semantic Web methods are entering mainstream technology, in a number of forms. The consequent rise in commercial interest will likely have a fundamental impact on the field. Some established research results will make it into mainstream applications. Others will become obsolete. Radically new ideas will emerge. It is thus the right time for the community to contemplate the way ahead. In this workshop, we will provide an exciting forum for the discussion of the future of the Semantic Web. Researchers and practitioners from all corners of the field are invited to provide their insights and projections. The event will focus on discussions and the exchange of ideas, and will use a mix of different styles of interaction between the participants. It is always good to try to look ahead and anticipate the development of a field. For the Semantic Web, it is now particularly important because recent developments indicate that Semantic Web technologies are entering the industrial mainstream. Schema.org and the Facebook Open Graph Protocol are bringing metadata to bear on the Web large-scale. IBMs Watson and Apples Siri incorporate Semantic Technologies. Google is revamping its search approach and is going more semantic in implementing their knowledge graph. And these are just a few of the prominent examples. The commercial uptake will be a game-changer for the field. It seems that only a fraction of the research results of the past ten years are currently being picked up. It seems that shallow semantics brings added value in many, but not all, application areas. In others it seems that there are roadblocks for which deep semantics is required for added value  but current approaches are still limited. Linked Data and Big Data are popular buzzwords right now, but could they be hitting a peak on the expectation curve? If so, what is going to happen in the subsequent dive? If not, how will those areas affect the fields future? In this workshop, we intend to bring together researchers from all corners of the broader Semantic Web community, to share and discuss projections of the way ahead in Semantic Web technologies and knowledge engineering in general."
