eventLabel,roleLabel,personLabel,affiliationLabel
11th International Semantic Web Conference,Worshop and Tutorial Chair at ISWC 2012,Claudia d'Amato,University of Bari
11th International Semantic Web Conference,Worshop and Tutorial Chair at ISWC 2012,Thomas Scharrenbach,University of Zurich
Big Graph Data Panel,ISWC2012 Panellist,Bryan Thompson,Systap
Big Graph Data Panel,ISWC2012 Panellist,Frank van Harmelen,VU University Amsterdam
Big Graph Data Panel,ISWC2012 Panellist,John Gianandrea,Google
Big Graph Data Panel,ISWC2012 Panellist,Mike Stonebreaker,MIT
Big Graph Data Panel,ISWC2012 Panellist,Tim Berners-Lee,W3C
"Search, question answering and entity summarization",ISWC2012 Session Chair,Manfred Hauswirth,"DERI, NUI Galway"
Evaluation of reasoning with ontologies,ISWC2012 Session Chair,Jérôme Euzenat,INRIA
Evaluation of reasoning with ontologies,ISWC2012 Session Chair,Jérôme Euzenat,INRIA & LIG
Federated and Stream Query Processing,ISWC2012 Session Chair,Josiane Xavier Parreira,"DERI, NUI Galway"
Industry Track I,ISWC2012 Session Chair,Ivan Herman,W3C
Industry Track II,ISWC2012 Session Chair,Tom Heath,Talis
Industry Track III,ISWC2012 Session Chair,Ivan Herman,W3C
Industry Track IV,ISWC2012 Session Chair,Tom Heath,Talis
Infrastructure,ISWC2012 Session Chair,Tudor Groza,University of Queensland
eGov and Smart Cities,ISWC2012 Session Chair,Tom Heath,Talis
Applications,ISWC2012 Session Chair,Peter Mika,Yahoo! Research
Question Answering and NLP,ISWC2012 Session Chair,Amal Zouaq,Royal Military College of Canada
Semantic Web in Biomedicine,ISWC2012 Session Chair,Natasha F. Noy,Stanford University
Applied Reasoning and Querying ,ISWC2012 Session Chair,Pascal Hitzler,"Kno.e.sis Center, Wright State University"
Linked Data,ISWC2012 Session Chair,Tom Heath,Talis
Description Logic,ISWC2012 Session Chair,Pascal Hitzler,"Kno.e.sis Center, Wright State University"
User Interfaces and Personalization,ISWC2012 Session Chair,Natasha F. Noy,Stanford University
Queries,ISWC2012 Session Chair,Maria-Esther Vidal,Universidad Simon Bolivar
Knowledge Discovery,ISWC2012 Session Chair,Jens Lehmann,University of Leipzig
Alternative Knowledge Representation Approaches,ISWC2012 Session Chair,Jeff Pan,University of Aberdeen
Provenance and Verification,ISWC2012 Session Chair,Paul Groth,VU University Amsterdam
Instance matching,ISWC2012 Session Chair,Mathieu d'Aquin,"KMi, The Open University"
Streaming and Geospatial DBMSs,ISWC2012 Session Chair,Freddy Lecue,IBM Research
Ontology Mapping,ISWC2012 Session Chair,Raphaël Troncy,EURECOM
Scalability and Parallel Processing,ISWC2012 Session Chair,Andreas Harth,"AIFB, Karlsruhe Institute of Technology"
Ontology Engineering and Optimization,ISWC2012 Session Chair,Peter Patel-Schneider,Nuance Communications
Information Extraction,ISWC2012 Session Chair,Diana Maynard,University of Sheffield
Social and Collaborative Semantics,ISWC2012 Session Chair,Gianluca Demartini,University of Fribourg
Town Hall Meeting,ISWC2012 Session Mediator,Abraham Bernstein,University of Zurich
schema.org update,ISWC2012 Session Chair,Peter Mika,Yahoo! Research
The Semantic Web and Collective Intelligence,ISWC2012 Keynote Speaker,Thomas Malone,MIT Sloan School of Management
Driving Innovation with Open Data and Interoperability,ISWC2012 Keynote Speaker,Jeanne Holm,"Data.gov, U.S. General Services Administration"
Semantic Web Challenge,ISWC2012 Keynote Speaker,Jeanne Holm,"Data.gov, U.S. General Services Administration"
"Tackling Climate Change:  Unfinished Business from the Last ""Winter""",ISWC2012 Keynote Speaker,Mark Musen,Stanford University
Doctoral Consortium,PC Member at ISWC2012(Doctoral Consortium),Diana Maynard,University of Sheffield
Doctoral Consortium,PC Member at ISWC2012(Doctoral Consortium),Elena Simperl,"AIFB, Karlsruhe Institute of Technology"
Doctoral Consortium,PC Member at ISWC2012(Doctoral Consortium),Fausto Guinchiliglia,University of Trento
Doctoral Consortium,PC Member at ISWC2012(Doctoral Consortium),Frank van Harmelen,VU University Amsterdam
Doctoral Consortium,PC Member at ISWC2012(Doctoral Consortium),Harith Alani,"KMi, The Open University"
Doctoral Consortium,PC Member at ISWC2012(Doctoral Consortium),Ian Horrocks,University of Oxford
Doctoral Consortium,PC Member at ISWC2012(Doctoral Consortium),Natasha F. Noy,Stanford University
Doctoral Consortium,PC Member at ISWC2012(Doctoral Consortium),Oscar Corcho,Universidad Politécnica de Madrid
Doctoral Consortium,PC Member at ISWC2012(Doctoral Consortium),Steffen Staab,University of Koblenz-Landau
track/evaluation,Evaluation Chair at ISWC 2012,Jérôme Euzenat,INRIA
track/evaluation,Evaluation Chair at ISWC 2012,Jérôme Euzenat,INRIA & LIG
track/evaluation,Evaluation Chair at ISWC 2012,Josiane Xavier Parreira,"DERI, NUI Galway"
track/evaluation,Evaluation Chair at ISWC 2012,Manfred Hauswirth,"DERI, NUI Galway"
track/evaluation,PC Member at ISWC2012(Evaluation Track),Alois Haselboeck,Siemens AG
track/evaluation,PC Member at ISWC2012(Evaluation Track),Andreas Harth,"AIFB, Karlsruhe Institute of Technology"
track/evaluation,PC Member at ISWC2012(Evaluation Track),Antoine Isaac,VU University Amsterdam
track/evaluation,PC Member at ISWC2012(Evaluation Track),Asunción Gómez-Pérez,Universidad Politécnica de Madrid
track/evaluation,PC Member at ISWC2012(Evaluation Track),Christian Meilicke,University of Mannheim
track/evaluation,PC Member at ISWC2012(Evaluation Track),Christos Tryfonopoulos,University of Peloponnese
track/evaluation,PC Member at ISWC2012(Evaluation Track),Conor Hayes,"DERI, NUI Galway"
track/evaluation,PC Member at ISWC2012(Evaluation Track),Denilson Barbosa,University of Alberta
track/evaluation,PC Member at ISWC2012(Evaluation Track),Francois Scharffe,"LIRMM, University of Montpellier"
track/evaluation,PC Member at ISWC2012(Evaluation Track),Giovanni Tummarello,"DERI, NUI Galway"
track/evaluation,PC Member at ISWC2012(Evaluation Track),Jérôme Euzenat,INRIA
track/evaluation,PC Member at ISWC2012(Evaluation Track),Jérôme Euzenat,INRIA & LIG
track/evaluation,PC Member at ISWC2012(Evaluation Track),Josiane Xavier Parreira,"DERI, NUI Galway"
track/evaluation,PC Member at ISWC2012(Evaluation Track),Kai-Uwe Sattler,TU Ilmenau
track/evaluation,PC Member at ISWC2012(Evaluation Track),Manfred Hauswirth,"DERI, NUI Galway"
track/evaluation,PC Member at ISWC2012(Evaluation Track),Manolis Koubarakis,National and Kapodistrian University of Athens
track/evaluation,PC Member at ISWC2012(Evaluation Track),Maria-Esther Vidal,Universidad Simon Bolivar
track/evaluation,PC Member at ISWC2012(Evaluation Track),Marta Sabou,MODUL University Vienna
track/evaluation,PC Member at ISWC2012(Evaluation Track),Martin Theobald,Max Planck Institute for Informatics
track/evaluation,PC Member at ISWC2012(Evaluation Track),Ondrej Svab-Zamazal,"University of Economics, Prague"
track/evaluation,PC Member at ISWC2012(Evaluation Track),Oscar Corcho,Universidad Politécnica de Madrid
track/evaluation,PC Member at ISWC2012(Evaluation Track),Payam Barnaghi,University of Surrey
track/evaluation,PC Member at ISWC2012(Evaluation Track),Raúl García-Castro,Universidad Politécnica de Madrid
track/evaluation,PC Member at ISWC2012(Evaluation Track),Renaud Delbru,"DERI, NUI Galway"
track/evaluation,PC Member at ISWC2012(Evaluation Track),Ryutaro Ichise,National Institute of Informatics
track/evaluation,PC Member at ISWC2012(Evaluation Track),Shenghui Wang,OCLC
track/evaluation,PC Member at ISWC2012(Evaluation Track),Shenghui Wang,VU Amsterdam
track/evaluation,PC Member at ISWC2012(Evaluation Track),Sherif Sakr,University of New South Wales
track/evaluation,PC Member at ISWC2012(Evaluation Track),Siegfried Handschuh,"DERI, NUI Galway"
track/evaluation,PC Member at ISWC2012(Evaluation Track),Thierry Declerck,DFKI GmbH
track/evaluation,PC Member at ISWC2012(Evaluation Track),Thomas Krennwallner,Vienna University of Technology
track/evaluation,PC Member at ISWC2012(Evaluation Track),Willem Robert Van Hage,VU University Amsterdam
track/industry,Industry Chair at ISWC 2012,Ivan Herman,W3C
track/industry,Industry Chair at ISWC 2012,Tim Berners-Lee,W3C
track/industry,Industry Chair at ISWC 2012,Tom Heath,Talis
track/industry,PC Member at ISWC2012(Industry Track),Amit Sheth,"Kno.e.sis Center, Wright State University"
track/industry,PC Member at ISWC2012(Industry Track),Christopher Brewster,"Aston Business School, Aston University"
track/industry,PC Member at ISWC2012(Industry Track),Dave Reynolds,Epimorphics
track/industry,PC Member at ISWC2012(Industry Track),David Norheim,Computas
track/industry,PC Member at ISWC2012(Industry Track),Ian Davis,
track/industry,PC Member at ISWC2012(Industry Track),Lin Clark,"DERI, NUI Galway"
track/industry,PC Member at ISWC2012(Industry Track),Natasha F. Noy,Stanford University
track/industry,PC Member at ISWC2012(Industry Track),Ora Lassila,Nokia Services
track/industry,PC Member at ISWC2012(Industry Track),Robert Engels,
track/industry,PC Member at ISWC2012(Industry Track),Steve Harris,Garlik
track/industry,PC Member at ISWC2012(Industry Track),York Sure-Vetter,GESIS - Leibniz Institute for the Social Sciences & Universität Koblenz-Landau
track/inuse,Semantic Web In Use Chair at ISWC 2012,Evren Sirin,Clark & Parsia
track/inuse,Semantic Web In Use Chair at ISWC 2012,Tania Tudorache,Stanford University
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Adrian Mocan,SAP
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Alexandre Passant,"DERI, NUI Galway"
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Amal Zouaq,Royal Military College of Canada
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Anupriya Ankolekar,HP Labs
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Armin Haller,"DERI, NUI Galway"
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Carlos Pedrinaci,"KMi, The Open University"
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Cartic Ramakrishnan,"Kno.e.sis Center, Wright State University"
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Cecile Bothorel,Telecom Bretagne
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Christian Bizer,Freie Universität Berlin
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Federico Michele Facca,Create-Net
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Fouad Zablith,"KMi, The Open University"
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Gianluca Correndo,University of Southampton
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Giovanni Tummarello,"DERI, NUI Galway"
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Héctor Pérez-Urbina,Clark & Parsia
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Holger Wache,University of Applied Science Northweastern Switzerland
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Hugh Glaser,University of Southampton
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Ivan Cantador,Universidad Autonoma de Madrid
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Ivan Herman,W3C
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Jacco Van Ossenbruggen,Centre for Mathematics and Computer Sciences (CWI)
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Jamie Taylor,Metaweb
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Jans Aasman,Franz
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Jens Lehmann,University of Leipzig
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Kewen Wang,Griffith University
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Krzysztof Janowicz,UC Santa Barbara
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Leigh Dodds,Ingenta
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Lyndon Nixon,STI International
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Manuel Salvadores,Stanford University
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Marco Rospocher,Fondazione Bruno Kessler
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Mark Greaves,Vulcan
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Markus Strohmaier,Knowledge Management Institute - Graz University of Technology
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Marta Sabou,MODUL University Vienna
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Massimo Paolucci,DoCoMo Euro labs
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Mathieu d'Aquin,"KMi, The Open University"
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Matthew Horridge,Stanford University
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Matthew Rowe,"KMi, The Open University"
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Matthias Klusch,DFKI
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Michael Hausenblas,"DERI, NUI Galway"
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Michael Uschold,Reinvent Technology
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Mike Dean,Raytheon BBN Technologies
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Milan Stankovic,"Hypios & STIH, Université Paris-Sorbonne"
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Natasha F. Noy,Stanford University
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Nenad Stojanovic,FZI Research Center for Information Technology
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Oscar Corcho,Universidad Politécnica de Madrid
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Pascal Hitzler,"Kno.e.sis Center, Wright State University"
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Patrick Sinclair,BBC
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Pavel Klinov,Clark & Parsia
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Pavel Klinov,University of Arizona
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Peter Haase,fluid Operations
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Rinke Hoekstra,VU University Amsterdam
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Shenghui Wang,OCLC
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Shenghui Wang,VU Amsterdam
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Siegfried Handschuh,"DERI, NUI Galway"
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Sören Auer,TU Chemnitz
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Sören Auer,University of Leipzig
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Thorsten Liebig,Derivo
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Tom Heath,Talis
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Tudor Groza,University of Queensland
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Vinay Chaudhri,SRI International
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Vit Novacek,"DERI, NUI Galway"
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Wei Hu,Nanjing University
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Willem Robert Van Hage,VU University Amsterdam
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Yuan-Fang Li,Monash University
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Yves Raimond,BBC
track/inuse,PC Member at ISWC2012(Semantic Web In Use Track),Zhe Wu,Oracle
track/poster-demo,Poster and Demo Chair at ISWC 2012,Birte Glimm,University of Ulm
track/poster-demo,Poster and Demo Chair at ISWC 2012,David Huynh,Google
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Aidan Hogan,"DERI, NUI Galway"
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Alexandre Passant,"DERI, NUI Galway"
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Axel Polleres,"DERI, NUI Galway"
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Axel Polleres,Siemens AG Österreich
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Bernhard Schandl,Gnowsis.com
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Eva Blomqvist,Linköping University
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Eva Blomqvist,STLab (ISTC-CNR)
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Frantisek Simancik,University of Oxford
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Gianluca Correndo,University of Southampton
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Giorgos Stoilos,National Technical University of Athens
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Haofen Wang,Shanghai Jiao Tong University
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Jürgen Umbrich,"DERI, NUI Galway"
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Klaas Dellschaft,University Koblenz-Landau
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Maria-Esther Vidal,Universidad Simon Bolivar
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Mathieu d'Aquin,"KMi, The Open University"
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Matthew Horridge,Stanford University
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Michael Hausenblas,"DERI, NUI Galway"
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Miriam Fernandez,"KMi, The Open University"
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Nadeschda Nikitina,"AIFB, Karlsruhe Institute of Technology"
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Nenad Stojanovic,FZI Research Center for Information Technology
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Pascal Hitzler,"Kno.e.sis Center, Wright State University"
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Peter Haase,fluid Operations
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Raphaël Troncy,EURECOM
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Tania Tudorache,Stanford University
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Wolf Siberski,L3S Research Center
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Yuan Ni,IBM China Research Laboratory
track/poster-demo,PC Member at ISWC2012(Poster and Demo),Yue Ma,LIPN - UMR 7030 Universit Paris 13 - CNRS
track/research,Program Chair at ISWC 2012,Jeff Heflin,Lehigh University
track/research,Program Chair at ISWC 2012,Philippe Cudré-Mauroux,University of Fribourg
track/research,PC Member at ISWC2012(Research Track),Abir Qasem,Bridgewater College
track/research,PC Member at ISWC2012(Research Track),Achille Fokoue,IBM Research
track/research,PC Member at ISWC2012(Research Track),Adila A. Krisnadhi,"Kno.e.sis Center, Wright State University"
track/research,PC Member at ISWC2012(Research Track),Aidan Hogan,"DERI, NUI Galway"
track/research,PC Member at ISWC2012(Research Track),Alasdair J. G. Gray,University of Manchester
track/research,PC Member at ISWC2012(Research Track),Aldo Gangemi,CNR-ISTC
track/research,PC Member at ISWC2012(Research Track),Alexander Löser,Technische Universität Berlin
track/research,PC Member at ISWC2012(Research Track),Alexandra Poulovassilis,"Birkbeck College, University of London"
track/research,PC Member at ISWC2012(Research Track),Alexandre Passant,"DERI, NUI Galway"
track/research,PC Member at ISWC2012(Research Track),Amit Sheth,"Kno.e.sis Center, Wright State University"
track/research,PC Member at ISWC2012(Research Track),Anastasios Kementsietsidis,IBM Research
track/research,PC Member at ISWC2012(Research Track),Andreas Hotho,University of Wuerzburg
track/research,PC Member at ISWC2012(Research Track),Antoine Zimmermann,École des Mines de Saint-Étienne
track/research,PC Member at ISWC2012(Research Track),Arantza Illarramendi,Basque Country University
track/research,PC Member at ISWC2012(Research Track),Avigdor Gal,Technion
track/research,PC Member at ISWC2012(Research Track),Benoit Christophe,Alcatel-Lucent Bell Labs France
track/research,PC Member at ISWC2012(Research Track),Bernardo Cuenca Grau,University of Oxford
track/research,PC Member at ISWC2012(Research Track),Bernhard Schandl,Gnowsis.com
track/research,PC Member at ISWC2012(Research Track),Bijan Parsia,University of Manchester
track/research,PC Member at ISWC2012(Research Track),Birte Glimm,University of Ulm
track/research,PC Member at ISWC2012(Research Track),Bo Fu,"University of Victoria, British Columbia, Canada"
track/research,PC Member at ISWC2012(Research Track),Boris Motik,University of Oxford
track/research,PC Member at ISWC2012(Research Track),Brian Kettler,Lockheed Martin
track/research,PC Member at ISWC2012(Research Track),Carlo Curino,Yahoo! Research
track/research,PC Member at ISWC2012(Research Track),Christian Bizer,Freie Universität Berlin
track/research,PC Member at ISWC2012(Research Track),Christophe Guéret,VU University Amsterdam
track/research,PC Member at ISWC2012(Research Track),Christopher Matheus,Bell Labs Research
track/research,PC Member at ISWC2012(Research Track),Christos Tryfonopoulos,University of Peloponnese
track/research,PC Member at ISWC2012(Research Track),Claudia d'Amato,University of Bari
track/research,PC Member at ISWC2012(Research Track),Craig Knoblock,"Information Sciences Institute, University of Southern California"
track/research,PC Member at ISWC2012(Research Track),Dan Brickley,FOAF project
track/research,PC Member at ISWC2012(Research Track),Daniel Schwabe,PUC-Rio
track/research,PC Member at ISWC2012(Research Track),David De Roure,University of Oxford
track/research,PC Member at ISWC2012(Research Track),Diego Calvanese,Free University of Bozen-Bolzano
track/research,PC Member at ISWC2012(Research Track),Dimitris Plexousakis,University of Crete
track/research,PC Member at ISWC2012(Research Track),Elena Simperl,"AIFB, Karlsruhe Institute of Technology"
track/research,PC Member at ISWC2012(Research Track),Enrico Franconi,Free University of Bozen-Bolzano
track/research,PC Member at ISWC2012(Research Track),Esteban Zimanyi,Université Libre de Bruxelles
track/research,PC Member at ISWC2012(Research Track),Eva Blomqvist,Linköping University
track/research,PC Member at ISWC2012(Research Track),Eva Blomqvist,STLab (ISTC-CNR)
track/research,PC Member at ISWC2012(Research Track),Fabien Gandon,INRIA
track/research,PC Member at ISWC2012(Research Track),Fabio Ciravegna,University of Sheffield
track/research,PC Member at ISWC2012(Research Track),Francois Scharffe,"LIRMM, University of Montpellier"
track/research,PC Member at ISWC2012(Research Track),Frank van Harmelen,VU University Amsterdam
track/research,PC Member at ISWC2012(Research Track),Freddy Lecue,IBM Research
track/research,PC Member at ISWC2012(Research Track),Gerd Gröner,University of Koblenz
track/research,PC Member at ISWC2012(Research Track),Gianluca Demartini,University of Fribourg
track/research,PC Member at ISWC2012(Research Track),Giorgos Flouris,FORTH-ICS
track/research,PC Member at ISWC2012(Research Track),Grigoris Antoniou,FORTH-ICS
track/research,PC Member at ISWC2012(Research Track),Guilin Qi,Southeast University
track/research,PC Member at ISWC2012(Research Track),Haofen Wang,Shanghai Jiao Tong University
track/research,PC Member at ISWC2012(Research Track),Harry Halpin,University of Edinburgh
track/research,PC Member at ISWC2012(Research Track),Huajun Chen,Zhejiang University
track/research,PC Member at ISWC2012(Research Track),Ian Dickinson,Epimorphics
track/research,PC Member at ISWC2012(Research Track),Isabel Cruz,University of Illinois at Chicago
track/research,PC Member at ISWC2012(Research Track),Jeff Pan,University of Aberdeen
track/research,PC Member at ISWC2012(Research Track),Jennifer Golbeck,University of Maryland
track/research,PC Member at ISWC2012(Research Track),Jie Bao,Samsung Information Systems America
track/research,PC Member at ISWC2012(Research Track),John Breslin,"DERI, NUI Galway"
track/research,PC Member at ISWC2012(Research Track),John Domingue,"KMi, The Open University"
track/research,PC Member at ISWC2012(Research Track),José Luis Ambite,University of Southern California
track/research,PC Member at ISWC2012(Research Track),Josiane Xavier Parreira,"DERI, NUI Galway"
track/research,PC Member at ISWC2012(Research Track),Juan F. Sequeda,University of Texas at Austin
track/research,PC Member at ISWC2012(Research Track),Karl Aberer,EPFL
track/research,PC Member at ISWC2012(Research Track),Kavitha Srinivas,IBM Research
track/research,PC Member at ISWC2012(Research Track),Kemafor Anyanwu,North Carolina State University
track/research,PC Member at ISWC2012(Research Track),Kerry Taylor,CSIRO
track/research,PC Member at ISWC2012(Research Track),Key-Sun Choi,KAIST
track/research,PC Member at ISWC2012(Research Track),Krzysztof Janowicz,UC Santa Barbara
track/research,PC Member at ISWC2012(Research Track),Letizia Tanca,Politecnico di Milano
track/research,PC Member at ISWC2012(Research Track),Li Ding,Qualcomm
track/research,PC Member at ISWC2012(Research Track),Lin Clark,"DERI, NUI Galway"
track/research,PC Member at ISWC2012(Research Track),Lina Zhou,University of Maryland Baltimore County
track/research,PC Member at ISWC2012(Research Track),Luc Moreau,University of Southampton
track/research,PC Member at ISWC2012(Research Track),Luciano Serafini,FBK-IRST
track/research,PC Member at ISWC2012(Research Track),Manuel Salvadores,Stanford University
track/research,PC Member at ISWC2012(Research Track),Maria-Esther Vidal,Universidad Simon Bolivar
track/research,PC Member at ISWC2012(Research Track),Marie-Christine Rousset,University of Grenoble
track/research,PC Member at ISWC2012(Research Track),Markus Krötzsch,University of Oxford
track/research,PC Member at ISWC2012(Research Track),Marta Sabou,MODUL University Vienna
track/research,PC Member at ISWC2012(Research Track),Martin Hepp,"Bundeswehr University Munich, Germany"
track/research,PC Member at ISWC2012(Research Track),Mathieu d'Aquin,"KMi, The Open University"
track/research,PC Member at ISWC2012(Research Track),Matthew Horridge,Stanford University
track/research,PC Member at ISWC2012(Research Track),Michael Benedikt,Oxford University
track/research,PC Member at ISWC2012(Research Track),Michael Gruninger,University of Toronto
