p,o,p1,o1
swc:isSuperEventOf,iswc2012:break-2012-11-13-2,iCal:dtEnd,2012-11-13T16:00:00+05:00
swc:isSuperEventOf,iswc2012:break-2012-11-13-2,iCal:dtStart,2012-11-13T15:30:00+05:00
swc:isSuperEventOf,iswc2012:break-2012-11-13-3,rdf:type,swc:BreakEvent
swc:isSuperEventOf,iswc2012:break-2012-11-13-3,rdfs:label,Coffee Break
swc:isSuperEventOf,iswc2012:break-2012-11-13-3,iCal:dtEnd,2012-11-13T18:30:00+05:00
swc:isSuperEventOf,iswc2012:break-2012-11-13-3,iCal:dtStart,2012-11-13T17:30:00+05:00
swc:isSuperEventOf,iswc2012:break-2012-11-14-1,rdf:type,swc:BreakEvent
swc:isSuperEventOf,iswc2012:break-2012-11-14-1,rdfs:label,Coffee Break
swc:isSuperEventOf,iswc2012:break-2012-11-14-1,iCal:dtEnd,2012-11-14T11:00:00+05:00
swc:isSuperEventOf,iswc2012:break-2012-11-14-1,iCal:dtStart,2012-11-14T10:30:00+05:00
swc:isSuperEventOf,iswc2012:break-2012-11-14-2,rdf:type,swc:BreakEvent
swc:isSuperEventOf,iswc2012:break-2012-11-14-2,rdfs:label,Coffee Break
swc:isSuperEventOf,iswc2012:break-2012-11-14-2,iCal:dtEnd,2012-11-14T16:00:00+05:00
swc:isSuperEventOf,iswc2012:break-2012-11-14-2,iCal:dtStart,2012-11-14T15:30:00+05:00
swc:isSuperEventOf,iswc2012:break-2012-11-14-3,rdf:type,swc:BreakEvent
swc:isSuperEventOf,iswc2012:break-2012-11-14-3,rdfs:label,Coffee Break
swc:isSuperEventOf,iswc2012:break-2012-11-14-3,iCal:dtEnd,2012-11-14T19:30:00+05:00
swc:isSuperEventOf,iswc2012:break-2012-11-14-3,iCal:dtStart,2012-11-14T17:30:00+05:00
swc:isSuperEventOf,iswc2012:break-2012-11-15-1,rdf:type,swc:BreakEvent
swc:isSuperEventOf,iswc2012:break-2012-11-15-1,rdfs:label,Coffee Break
swc:isSuperEventOf,iswc2012:break-2012-11-15-1,iCal:dtEnd,2012-11-15T11:00:00+05:00
swc:isSuperEventOf,iswc2012:break-2012-11-15-1,iCal:dtStart,2012-11-15T10:30:00+05:00
swc:isSuperEventOf,iswc2012:break-2012-11-15-2,rdf:type,swc:BreakEvent
swc:isSuperEventOf,iswc2012:break-2012-11-15-2,rdfs:label,Coffee Break
swc:isSuperEventOf,iswc2012:break-2012-11-15-2,iCal:dtEnd,2012-11-15T16:00:00+05:00
swc:isSuperEventOf,iswc2012:break-2012-11-15-2,iCal:dtStart,2012-11-15T15:30:00+05:00
swc:isSuperEventOf,iswc2012:lunch-2012-11-13,rdf:type,swc:BreakEvent
swc:isSuperEventOf,iswc2012:lunch-2012-11-13,rdfs:label,Lunch
swc:isSuperEventOf,iswc2012:lunch-2012-11-13,iCal:dtEnd,2012-11-13T14:00:00+05:00
swc:isSuperEventOf,iswc2012:lunch-2012-11-13,iCal:dtStart,2012-11-13T12:30:00+05:00
swc:isSuperEventOf,iswc2012:lunch-2012-11-14,rdf:type,swc:BreakEvent
swc:isSuperEventOf,iswc2012:lunch-2012-11-14,rdfs:label,Lunch
swc:isSuperEventOf,iswc2012:lunch-2012-11-14,iCal:dtEnd,2012-11-14T14:00:00+05:00
swc:isSuperEventOf,iswc2012:lunch-2012-11-14,iCal:dtStart,2012-11-14T12:30:00+05:00
swc:isSuperEventOf,iswc2012:lunch-2012-11-15,rdf:type,swc:BreakEvent
swc:isSuperEventOf,iswc2012:lunch-2012-11-15,rdfs:label,Lunch
swc:isSuperEventOf,iswc2012:lunch-2012-11-15,iCal:dtEnd,2012-11-15T14:00:00+05:00
swc:isSuperEventOf,iswc2012:lunch-2012-11-15,iCal:dtStart,2012-11-15T12:30:00+05:00
swc:isSuperEventOf,iswc2012:panel/big-graph-data,swrc:abstract,"The Semantic Web / Linked Data has grown immensely over the past years. When the Semantic Web community started working over a decade ago the main question was where to get the data from. By now the question of how to process ever increasing amount of semantic/linked data has come to people's utmost attention. The goal of this panel is to shed light on the various approaches/options for Big Graph Data processing. Possible questions include: (1)Does the Semantic Web need any central infrastructures? (It's a Web, after all?) (2)Or will a handful of large single-owner infrastructures dominate the Semantic Web, just as they now dominate the current Web? (3)And if so, will such infrastructures be based on the standard relational model? (4)Or on MapReduce-centric key/value-pairs? (5)Is Google's (centralised) Knowledge Graph anathema to the Semantic *Web* ? (6)Are triplestore vendors just reinventing the old database wheels? (7)What is the role of clustered MapReduce-like solutions and where are their limits for processing semantic web data? "
swc:isSuperEventOf,iswc2012:panel/big-graph-data,rdf:type,swc:PanelEvent
swc:isSuperEventOf,iswc2012:panel/big-graph-data,rdfs:label,Big Graph Data Panel
swc:isSuperEventOf,iswc2012:panel/big-graph-data,iCal:dtEnd,2012-11-14T15:30:00+05:00
swc:isSuperEventOf,iswc2012:panel/big-graph-data,iCal:dtStart,2012-11-14T14:00:00+05:00
swc:isSuperEventOf,iswc2012:panel/big-graph-data,foaf:homepage,http://iswc2012.semanticweb.org/big-graph-data-panel
swc:isSuperEventOf,iswc2012:session/evaluation-01,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/evaluation-01,rdfs:label,"Search, question answering and entity summarization"
swc:isSuperEventOf,iswc2012:session/evaluation-01,iCal:dtEnd,2012-11-13T12:30:00+05:00
swc:isSuperEventOf,iswc2012:session/evaluation-01,iCal:dtStart,2012-11-13T11:00:00+05:00
swc:isSuperEventOf,iswc2012:session/evaluation-02,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/evaluation-02,rdfs:label,Evaluation of reasoning with ontologies
swc:isSuperEventOf,iswc2012:session/evaluation-02,iCal:dtEnd,2012-11-13T15:30:00+05:00
swc:isSuperEventOf,iswc2012:session/evaluation-02,iCal:dtStart,2012-11-13T14:00:00+05:00
swc:isSuperEventOf,iswc2012:session/evaluation-03,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/evaluation-03,rdfs:label,Federated and Stream Query Processing
swc:isSuperEventOf,iswc2012:session/evaluation-03,iCal:dtEnd,2012-11-13T17:30:00+05:00
swc:isSuperEventOf,iswc2012:session/evaluation-03,iCal:dtStart,2012-11-13T16:00:00+05:00
swc:isSuperEventOf,iswc2012:session/industry-01,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/industry-01,rdfs:label,Industry Track I
swc:isSuperEventOf,iswc2012:session/industry-01,iCal:dtEnd,2012-11-14T12:30:00+05:00
swc:isSuperEventOf,iswc2012:session/industry-01,iCal:dtStart,2012-11-14T11:00:00+05:00
swc:isSuperEventOf,iswc2012:session/industry-02,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/industry-02,rdfs:label,Industry Track II
swc:isSuperEventOf,iswc2012:session/industry-02,iCal:dtEnd,2012-11-14T12:30:00+05:00
swc:isSuperEventOf,iswc2012:session/industry-02,iCal:dtStart,2012-11-14T11:00:00+05:00
swc:isSuperEventOf,iswc2012:session/industry-03,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/industry-03,rdfs:label,Industry Track III
swc:isSuperEventOf,iswc2012:session/industry-03,iCal:dtEnd,2012-11-14T17:30:00+05:00
swc:isSuperEventOf,iswc2012:session/industry-03,iCal:dtStart,2012-11-14T16:00:00+05:00
swc:isSuperEventOf,iswc2012:session/industry-04,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/industry-04,rdfs:label,Industry Track IV
swc:isSuperEventOf,iswc2012:session/industry-04,iCal:dtEnd,2012-11-14T17:30:00+05:00
swc:isSuperEventOf,iswc2012:session/industry-04,iCal:dtStart,2012-11-14T16:00:00+05:00
swc:isSuperEventOf,iswc2012:session/inuse-01,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/inuse-01,rdfs:label,Infrastructure
swc:isSuperEventOf,iswc2012:session/inuse-01,iCal:dtEnd,2012-11-13T12:30:00+05:00
swc:isSuperEventOf,iswc2012:session/inuse-01,iCal:dtStart,2012-11-13T11:00:00+05:00
swc:isSuperEventOf,iswc2012:session/inuse-02,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/inuse-02,rdfs:label,eGov and Smart Cities
swc:isSuperEventOf,iswc2012:session/inuse-02,iCal:dtEnd,2012-11-13T15:30:00+05:00
swc:isSuperEventOf,iswc2012:session/inuse-02,iCal:dtStart,2012-11-13T14:00:00+05:00
swc:isSuperEventOf,iswc2012:session/inuse-03,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/inuse-03,rdfs:label,Applications
swc:isSuperEventOf,iswc2012:session/inuse-03,iCal:dtEnd,2012-11-13T17:00:00+05:00
swc:isSuperEventOf,iswc2012:session/inuse-03,iCal:dtStart,2012-11-13T16:00:00+05:00
swc:isSuperEventOf,iswc2012:session/inuse-04,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/inuse-04,rdfs:label,Question Answering and NLP
swc:isSuperEventOf,iswc2012:session/inuse-04,iCal:dtEnd,2012-11-15T12:30:00+05:00
swc:isSuperEventOf,iswc2012:session/inuse-04,iCal:dtStart,2012-11-15T11:00:00+05:00
swc:isSuperEventOf,iswc2012:session/inuse-05,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/inuse-05,rdfs:label,Semantic Web in Biomedicine
swc:isSuperEventOf,iswc2012:session/inuse-05,iCal:dtEnd,2012-11-15T12:30:00+05:00
swc:isSuperEventOf,iswc2012:session/inuse-05,iCal:dtStart,2012-11-15T11:00:00+05:00
swc:isSuperEventOf,iswc2012:session/inuse-06,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/inuse-06,rdfs:label,Applied Reasoning and Querying 
swc:isSuperEventOf,iswc2012:session/inuse-06,iCal:dtEnd,2012-11-15T15:30:00+05:00
swc:isSuperEventOf,iswc2012:session/inuse-06,iCal:dtStart,2012-11-15T14:00:00+05:00
swc:isSuperEventOf,iswc2012:session/research-01,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/research-01,rdfs:label,Linked Data
swc:isSuperEventOf,iswc2012:session/research-01,iCal:dtEnd,2012-11-13T12:30:00+05:00
swc:isSuperEventOf,iswc2012:session/research-01,iCal:dtStart,2012-11-13T11:00:00+05:00
swc:isSuperEventOf,iswc2012:session/research-02,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/research-02,rdfs:label,Description Logic
swc:isSuperEventOf,iswc2012:session/research-02,iCal:dtEnd,2012-11-13T12:30:00+05:00
swc:isSuperEventOf,iswc2012:session/research-02,iCal:dtStart,2012-11-13T11:00:00+05:00
swc:isSuperEventOf,iswc2012:session/research-03,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/research-03,rdfs:label,User Interfaces and Personalization
swc:isSuperEventOf,iswc2012:session/research-03,iCal:dtEnd,2012-11-13T15:30:00+05:00
swc:isSuperEventOf,iswc2012:session/research-03,iCal:dtStart,2012-11-13T14:00:00+05:00
swc:isSuperEventOf,iswc2012:session/research-04,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/research-04,rdfs:label,Queries
swc:isSuperEventOf,iswc2012:session/research-04,iCal:dtEnd,2012-11-13T15:30:00+05:00
swc:isSuperEventOf,iswc2012:session/research-04,iCal:dtStart,2012-11-13T14:00:00+05:00
swc:isSuperEventOf,iswc2012:session/research-05,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/research-05,rdfs:label,Knowledge Discovery
swc:isSuperEventOf,iswc2012:session/research-05,iCal:dtEnd,2012-11-13T17:30:00+05:00
swc:isSuperEventOf,iswc2012:session/research-05,iCal:dtStart,2012-11-13T16:00:00+05:00
swc:isSuperEventOf,iswc2012:session/research-06,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/research-06,rdfs:label,Alternative Knowledge Representation Approaches
swc:isSuperEventOf,iswc2012:session/research-06,iCal:dtEnd,2012-11-14T12:30:00+05:00
swc:isSuperEventOf,iswc2012:session/research-06,iCal:dtStart,2012-11-14T11:00:00+05:00
swc:isSuperEventOf,iswc2012:session/research-07,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/research-07,rdfs:label,Provenance and Verification
swc:isSuperEventOf,iswc2012:session/research-07,iCal:dtEnd,2012-11-14T12:30:00+05:00
swc:isSuperEventOf,iswc2012:session/research-07,iCal:dtStart,2012-11-14T11:00:00+05:00
swc:isSuperEventOf,iswc2012:session/research-08,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/research-08,rdfs:label,Instance matching
swc:isSuperEventOf,iswc2012:session/research-08,iCal:dtEnd,2012-11-14T17:30:00+05:00
swc:isSuperEventOf,iswc2012:session/research-08,iCal:dtStart,2012-11-14T16:00:00+05:00
swc:isSuperEventOf,iswc2012:session/research-09,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/research-09,rdfs:label,Streaming and Geospatial DBMSs
swc:isSuperEventOf,iswc2012:session/research-09,iCal:dtEnd,2012-11-14T17:30:00+05:00
swc:isSuperEventOf,iswc2012:session/research-09,iCal:dtStart,2012-11-14T16:00:00+05:00
swc:isSuperEventOf,iswc2012:session/research-10,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/research-10,rdfs:label,Ontology Mapping
swc:isSuperEventOf,iswc2012:session/research-10,iCal:dtEnd,2012-11-15T12:30:00+05:00
swc:isSuperEventOf,iswc2012:session/research-10,iCal:dtStart,2012-11-15T11:00:00+05:00
swc:isSuperEventOf,iswc2012:session/research-11,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/research-11,rdfs:label,Scalability and Parallel Processing
swc:isSuperEventOf,iswc2012:session/research-11,iCal:dtEnd,2012-11-15T12:30:00+05:00
swc:isSuperEventOf,iswc2012:session/research-11,iCal:dtStart,2012-11-15T11:00:00+05:00
swc:isSuperEventOf,iswc2012:session/research-12,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/research-12,rdfs:label,Ontology Engineering and Optimization
swc:isSuperEventOf,iswc2012:session/research-12,iCal:dtEnd,2012-11-15T15:30:00+05:00
swc:isSuperEventOf,iswc2012:session/research-12,iCal:dtStart,2012-11-15T14:00:00+05:00
swc:isSuperEventOf,iswc2012:session/research-13,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/research-13,rdfs:label,Information Extraction
swc:isSuperEventOf,iswc2012:session/research-13,iCal:dtEnd,2012-11-15T15:30:00+05:00
swc:isSuperEventOf,iswc2012:session/research-13,iCal:dtStart,2012-11-15T14:00:00+05:00
swc:isSuperEventOf,iswc2012:session/research-14,rdf:type,swc:SessionEvent
swc:isSuperEventOf,iswc2012:session/research-14,rdfs:label,Social and Collaborative Semantics
swc:isSuperEventOf,iswc2012:session/research-14,iCal:dtEnd,2012-11-15T15:30:00+05:00
swc:isSuperEventOf,iswc2012:session/research-14,iCal:dtStart,2012-11-15T14:00:00+05:00
swc:isSuperEventOf,iswc2012:social/dinner-2012-11-14,rdf:type,swc:SocialEvent
swc:isSuperEventOf,iswc2012:social/dinner-2012-11-14,rdfs:label,Conference Dinner
swc:isSuperEventOf,iswc2012:social/dinner-2012-11-14,iCal:dtEnd,2012-11-15T01:00:00+05:00
swc:isSuperEventOf,iswc2012:social/dinner-2012-11-14,iCal:dtStart,2012-11-14T19:30:00+05:00
swc:isSuperEventOf,iswc2012:social/town-hall-meeting,swrc:abstract,Introduced at ISWC 2009 it has become a tradition at ISWC to come together in a town hall meeting to have conference participants share ideas on what they would like to see at the future ISWCs and to discuss what works and what does not work at the conference. Please join the members of the conference organizing committee in an informal discussion about all the new events that we added to the conference program this year and tell us what you would like to see in the future and what you liked and didn't like this year.
swc:isSuperEventOf,iswc2012:social/town-hall-meeting,rdf:type,swc:SocialEvent
swc:isSuperEventOf,iswc2012:social/town-hall-meeting,rdfs:label,Town Hall Meeting
swc:isSuperEventOf,iswc2012:social/town-hall-meeting,iCal:dtEnd,2012-11-14T18:45:00+05:00
swc:isSuperEventOf,iswc2012:social/town-hall-meeting,iCal:dtStart,2012-11-14T17:45:00+05:00
swc:isSuperEventOf,iswc2012:special/awards-and-closing,rdf:type,swc:SpecialEvent
swc:isSuperEventOf,iswc2012:special/awards-and-closing,rdfs:label,Awards and Closing Ceremony
swc:isSuperEventOf,iswc2012:special/awards-and-closing,iCal:dtEnd,2012-11-15T17:30:00+05:00
swc:isSuperEventOf,iswc2012:special/awards-and-closing,iCal:dtStart,2012-11-15T16:00:00+05:00
swc:isSuperEventOf,iswc2012:special/code-for-science-linked-datathon,swrc:abstract,"The world is changing fast and so is Elsevier. To build and deploy future research tools we need to seriously collaborate in a linked and distributed environment. Building on earlier developer events such as Executable Paper Challenge, Life Sciences Challenge and Apps for Science, Elsevier and the 11th International Semantic Web Conference are co-hosting CodeForScience Boston, a competition for building a tool that best extends how scientific researchers search, process, integrate and share. The application concept formulation and submission will take place online, followed by a live coding day on Saturday, November 10th at MIT Stata Center in Cambridge, MA. Prizes will be awarded. Registration for CodeForScience Boston will open in early October."
swc:isSuperEventOf,iswc2012:special/code-for-science-linked-datathon,rdf:type,swc:SpecialEvent
swc:isSuperEventOf,iswc2012:special/code-for-science-linked-datathon,rdfs:label,Code for Science Linked Datathon
swc:isSuperEventOf,iswc2012:special/code-for-science-linked-datathon,iCal:dtEnd,2012-11-10T17:00:00+05:00
swc:isSuperEventOf,iswc2012:special/code-for-science-linked-datathon,iCal:dtStart,2012-11-10T09:00:00+05:00
swc:isSuperEventOf,iswc2012:special/code-for-science-linked-datathon,foaf:homepage,http://www.codeforscience.com/boston
swc:isSuperEventOf,iswc2012:special/dinner-talk,swrc:abstract,This talk will attempt to be a humorous reprise of attempts to realise the web of Open Linked Data. What have been the great successes and failures and what does the future hold? Will the empire strike back? All will be revealed in the banquet after Dinner speech.
swc:isSuperEventOf,iswc2012:special/dinner-talk,rdf:type,swc:TalkEvent
swc:isSuperEventOf,iswc2012:special/dinner-talk,rdfs:label,The Trials and Tribulations of a Semantic Technology Evangelist
swc:isSuperEventOf,iswc2012:special/dinner-talk,iCal:dtEnd,2012-11-15T01:00:00+05:00
swc:isSuperEventOf,iswc2012:special/dinner-talk,iCal:dtStart,2012-11-14T19:30:00+05:00
swc:isSuperEventOf,iswc2012:special/doctoral-consortium,swrc:abstract,"The ISWC 2012 Doctoral Consortium will take place as part of the 11th International Semantic Web Conference in Boston, US. This forum will provide PhD students an opportunity to share and develop their research ideas in a critical but supportive environment, get feedback from mentors who are senior members of the Semantic Web research community, explore issues related to academic and research careers, and build relationships with other Semantic Web PhD students from around the world. The Consortium aims to broaden the perspectives and improve the research and communication skills of these students as a way to contribute both to the individuals as well as to the broader research community."
swc:isSuperEventOf,iswc2012:special/doctoral-consortium,rdf:type,swc:SpecialEvent
swc:isSuperEventOf,iswc2012:special/doctoral-consortium,rdfs:label,Doctoral Consortium
swc:isSuperEventOf,iswc2012:special/doctoral-consortium,iCal:dtEnd,2012-11-12T17:30:00+05:00
swc:isSuperEventOf,iswc2012:special/doctoral-consortium,iCal:dtStart,2012-11-12T09:00:00+05:00
swc:isSuperEventOf,iswc2012:special/doctoral-consortium,foaf:homepage,http://iswc2012.semanticweb.org/doctoral-consortium
swc:isSuperEventOf,iswc2012:special/journal-workshop,swrc:abstract,"Workshop participants will discuss sketches of their papers with editors and eidtorial board members of the top Semantic Web jorunals as well as other workshop participants. The goal is to help attendees to turn the sketches into successful submissions and avoid common stumbling blocks. People who wish to participate will be asked to submit a paper sketch (see cfp). The accepted sketeches will be read by the editors and the other chosen participants prior the workshop. Prior to the workshop, participants whose sketches have been accepted to will receive one to three other sketches to read and review. During the workshop, participants will meet in small groups which includes an editorial board memeber. During this discussion, participants will receive specific feedback on on the possible issues to address in order to turn the sketch into a possibly successful submission. Selection for the Journal Workshop Session is competitive. Papers currently under review or revision are excluded."
swc:isSuperEventOf,iswc2012:special/journal-workshop,rdf:type,swc:SpecialEvent
swc:isSuperEventOf,iswc2012:special/journal-workshop,rdfs:label,Journal Workshop Session
swc:isSuperEventOf,iswc2012:special/journal-workshop,iCal:dtEnd,2012-11-13T17:30:00+05:00
swc:isSuperEventOf,iswc2012:special/journal-workshop,iCal:dtStart,2012-11-13T16:00:00+05:00
swc:isSuperEventOf,iswc2012:special/jws-lunch,rdf:type,swc:SpecialEvent
swc:isSuperEventOf,iswc2012:special/jws-lunch,rdfs:label,JWS Lunch
swc:isSuperEventOf,iswc2012:special/jws-lunch,iCal:dtEnd,2012-11-13T14:00:00+05:00
swc:isSuperEventOf,iswc2012:special/jws-lunch,iCal:dtStart,2012-11-13T12:30:00+05:00
swc:isSuperEventOf,iswc2012:special/lightning,swrc:abstract,This session provides an open forum for participants to present a topic of their choosing. Each presenter is limited to one slide and two minutes time. Presenters must submit the title and one pdf slide to an email address announced in the conference's opening session. Limited presentation slots will be awarded on a first-come-first-serve basis.
swc:isSuperEventOf,iswc2012:special/lightning,rdf:type,swc:SpecialEvent
swc:isSuperEventOf,iswc2012:special/lightning,rdfs:label,Lightning Talks
swc:isSuperEventOf,iswc2012:special/lightning,iCal:dtEnd,2012-11-14T17:30:00+05:00
swc:isSuperEventOf,iswc2012:special/lightning,iCal:dtStart,2012-11-14T16:00:00+05:00
swc:isSuperEventOf,iswc2012:special/mentor-lunch,rdf:type,swc:SpecialEvent
